;site;url;category;jobTitle;salaryMin;salaryMax;currency;name;street;city;postingDate;tags;ifRemote
0;justjoin.it;https://justjoin.it/all/data;data;Data Engineer;13000;20000;PLN;Showpad;1 Swobodna Street; Wrocław;2019-06-17 16:48:52;mongodb;0
1;justjoin.it;https://justjoin.it/all/data;data;Data Engineer;13000;20000;PLN;Showpad;1 Swobodna Street; Wrocław;2019-06-17 16:48:52;spark;0
2;justjoin.it;https://justjoin.it/all/data;data;Data Engineer;13000;20000;PLN;Showpad;1 Swobodna Street; Wrocław;2019-06-17 16:48:52;hadoop;0
